defense,byz_frac,seed,train_acc,test_acc,seconds
naive,0,1,0.7333333333333333,0.6,442
naive,0.2,1,0.0,0.0,431
naive,0.33,1,0.0,0.0,416
naive,0.5,1,0.0,0.0,428
robust,0,1,0.7666666666666667,0.5,454
robust,0.2,1,0.5666666666666667,0.43333333333333335,455
robust,0.33,1,0.4,0.23333333333333334,436
robust,0.5,1,0.43333333333333335,0.2,448
naive,0,2,0.7,0.6,442
naive,0.2,2,0.0,0.0,428
naive,0.33,2,0.0,0.0,423
naive,0.5,2,0.0,0.0,422
robust,0,2,0.7333333333333333,0.6,427
robust,0.2,2,0.7,0.5,461
robust,0.33,2,0.5666666666666667,0.4666666666666667,434
robust,0.5,2,0.4666666666666667,0.4,455
naive,0,3,0.4666666666666667,0.6666666666666666,432
naive,0.2,3,0.0,0.0,434
naive,0.33,3,0.0,0.0,440
naive,0.5,3,0.0,0.0,432
robust,0,3,0.5,0.6666666666666666,430
robust,0.2,3,0.3,0.43333333333333335,416
robust,0.33,3,0.3333333333333333,0.5333333333333333,423
robust,0.5,3,0.36666666666666664,0.4,430
