mode,N,seed,train_acc,agents_in_prompt,seconds
field,20,1,0.5666666666666667,7,440
sparse,20,1,0.6333333333333333,20,442
field,100,1,0.7,6,454
sparse,100,1,0.5666666666666667,98,460
field,500,1,0.6333333333333333,6,532
sparse,500,1,0.5666666666666667,195,546
graph,20,1,0.6666666666666666,20,482
field,20,2,0.6333333333333333,6,468
sparse,20,2,0.6666666666666666,20,462
field,100,2,0.5333333333333333,6,465
sparse,100,2,0.6666666666666666,90,481
field,500,2,0.6,6,546
sparse,500,2,0.7333333333333333,190,550
graph,20,2,0.7666666666666667,20,487
field,20,3,0.6,6,458
sparse,20,3,0.7,20,472
field,100,3,0.7333333333333333,6,473
sparse,100,3,0.6333333333333333,93,469
field,500,3,0.6333333333333333,6,549
sparse,500,3,0.5333333333333333,224,576
graph,20,3,0.7333333333333333,20,514
